SampleID,Board,Package,Component,InspectionDefinition,Timestamp,Feature,Defect,GoldenImage,DefectImage
S000001,Board1,35-900032-AAA-RV1,U51,AI2,20260908_144902427,Text1,WrongPart_13,C:\Users\zeyu.wang\Desktop\usi\35-900032-AAA-RV1\Text\Golden\Board1_U51_Text1_35-900032-AAA-RV1_20260908_144902427_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\35-900032-AAA-RV1\Text\WrongPart_13\Board1_U51_Text1_35-900032-AAA-RV1_20260908_144902427_WrongPart_13.jpg
S000002,Board1,26-188412-AAA-RV1,FB1,BlobDetection,20260908_144902442,Body,ForeignMaterial_19,C:\Users\zeyu.wang\Desktop\usi\26-188412-AAA-RV1\Body\Golden\Board1_FB1_Body_26-188412-AAA-RV1_20260908_144902442_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\26-188412-AAA-RV1\Body\ForeignMaterial_19\Board1_FB1_Body_26-188412-AAA-RV1_20260908_144902442_ForeignMaterial_19.jpg
S000003,Board1,18-149003-AAA-RV1-1,R54,AI2|BlobDetection,20260908_144902454,Body,Shift_4,C:\Users\zeyu.wang\Desktop\usi\18-149003-AAA-RV1-1\Body\Golden\Board1_R54_Body_18-149003-AAA-RV1-1_20260908_144902454_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\18-149003-AAA-RV1-1\Body\Shift_4\Board1_R54_Body_18-149003-AAA-RV1-1_20260908_144902454_Shift_4.jpg
S000004,Board1,06-233344-AAA-RV1,C333,BlobDetection,20260908_144902460,Body,ForeignMaterial_19,C:\Users\zeyu.wang\Desktop\usi\06-233344-AAA-RV1\Body\Golden\Board1_C333_Body_06-233344-AAA-RV1_20260908_144902460_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\06-233344-AAA-RV1\Body\ForeignMaterial_19\Board1_C333_Body_06-233344-AAA-RV1_20260908_144902460_ForeignMaterial_19.jpg
S000005,Board1,50-204321-01,A2,VolumeHeight,20260908_144902471,Body,SolderInsuffcient_5,C:\Users\zeyu.wang\Desktop\usi\50-204321-01\Body\Golden\Board1_A2_Body_50-204321-01_20260908_144902471_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\50-204321-01\Body\SolderInsuffcient_5\Board1_A2_Body_50-204321-01_20260908_144902471_SolderInsuffcient_5.jpg
S000006,Board1,38-110438-AAA-RV2,D15,AI2,20260908_144902483,Text1,WrongPart_13,C:\Users\zeyu.wang\Desktop\usi\38-110438-AAA-RV2\Text\Golden\Board1_D15_Text1_38-110438-AAA-RV2_20260908_144902483_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\38-110438-AAA-RV2\Text\WrongPart_13\Board1_D15_Text1_38-110438-AAA-RV2_20260908_144902483_WrongPart_13.jpg
S000007,Board1,18-400067-05,R60,BlobDetection|BodyInspection,20260908_144902491,Body,SolderInsuffcient_5,C:\Users\zeyu.wang\Desktop\usi\18-400067-05\Body\Golden\Board1_R60_Body_18-400067-05_20260908_144902491_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\18-400067-05\Body\SolderInsuffcient_5\Board1_R60_Body_18-400067-05_20260908_144902491_SolderInsuffcient_5.jpg
S000008,Board1,32-996678-AAA-RV1,U33,BodyInspection,20260908_144902499,Body,SolderInsuffcient_5,C:\Users\zeyu.wang\Desktop\usi\32-996678-AAA-RV1\Body\Golden\Board1_U33_Body_32-996678-AAA-RV1_20260908_144902499_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\32-996678-AAA-RV1\Body\SolderInsuffcient_5\Board1_U33_Body_32-996678-AAA-RV1_20260908_144902499_SolderInsuffcient_5.jpg
S000009,Board1,14-722718-AAA-RV1,C223,GeometryMeasurement,20260908_144902509,Body,SolderInsuffcient_5,C:\Users\zeyu.wang\Desktop\usi\14-722718-AAA-RV1\Body\Golden\Board1_C223_Body_14-722718-AAA-RV1_20260908_144902509_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\14-722718-AAA-RV1\Body\SolderInsuffcient_5\Board1_C223_Body_14-722718-AAA-RV1_20260908_144902509_SolderInsuffcient_5.jpg
S000010,Board1,32-976002-AAA-RV1,U27,AI2,20260908_144902518,Text1,WrongPart_13,C:\Users\zeyu.wang\Desktop\usi\32-976002-AAA-RV1\Text\Golden\Board1_U27_Text1_32-976002-AAA-RV1_20260908_144902518_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\32-976002-AAA-RV1\Text\WrongPart_13\Board1_U27_Text1_32-976002-AAA-RV1_20260908_144902518_WrongPart_13.jpg
S000011,Board1,11-032857-AAA-RV1,D5,VolumeHeight,20260908_144902526,Lead2,SolderInsuffcient_5,C:\Users\zeyu.wang\Desktop\usi\11-032857-AAA-RV1\Lead\Golden\Board1_D5_Lead2_11-032857-AAA-RV1_20260908_144902526_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\11-032857-AAA-RV1\Lead\SolderInsuffcient_5\Board1_D5_Lead2_11-032857-AAA-RV1_20260908_144902526_SolderInsuffcient_5.jpg
S000012,Board1,18-149003-AAA-RV1,R249,BodyInspection,20260908_144902536,Body,SolderInsuffcient_5,C:\Users\zeyu.wang\Desktop\usi\18-149003-AAA-RV1\Body\Golden\Board1_R249_Body_18-149003-AAA-RV1_20260908_144902536_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\18-149003-AAA-RV1\Body\SolderInsuffcient_5\Board1_R249_Body_18-149003-AAA-RV1_20260908_144902536_SolderInsuffcient_5.jpg
S000013,Board1,38-110438-AAA-RV2,D13,AI2,20260908_144902544,Text1,WrongPart_13,C:\Users\zeyu.wang\Desktop\usi\38-110438-AAA-RV2\Text\Golden\Board1_D13_Text1_38-110438-AAA-RV2_20260908_144902544_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\38-110438-AAA-RV2\Text\WrongPart_13\Board1_D13_Text1_38-110438-AAA-RV2_20260908_144902544_WrongPart_13.jpg
S000014,Board1,50-204321-01,A1,VolumeHeight,20260908_144902554,Body,SolderInsuffcient_5,C:\Users\zeyu.wang\Desktop\usi\50-204321-01\Body\Golden\Board1_A1_Body_50-204321-01_20260908_144902554_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\50-204321-01\Body\SolderInsuffcient_5\Board1_A1_Body_50-204321-01_20260908_144902554_SolderInsuffcient_5.jpg
S000015,Board1,06-247398-AAA-RV2,C350,BlobDetection,20260908_144902568,Body,ForeignMaterial_19,C:\Users\zeyu.wang\Desktop\usi\06-247398-AAA-RV2\Body\Golden\Board1_C350_Body_06-247398-AAA-RV2_20260908_144902568_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\06-247398-AAA-RV2\Body\ForeignMaterial_19\Board1_C350_Body_06-247398-AAA-RV2_20260908_144902568_ForeignMaterial_19.jpg
